section,battery_model,phone_models,reading_note
TECNO/Infinix/itel,BL-30KT,J8,
TECNO/Infinix/itel,BL-30NT,C9,
TECNO/Infinix/itel,BL-30PI,1408,
TECNO/Infinix/itel,BL-30QX,X521,
TECNO/Infinix/itel,BL-30RT,W5,
TECNO/Infinix/itel,BL-30SX,X552,
TECNO/Infinix/itel,BL-30UT,CamCMCA6,reads as one run: Camon CM / CA6
TECNO/Infinix/itel,BL-30VX,"X5515,X5516",
TECNO/Infinix/itel,BL-32AT,CX,
TECNO/Infinix/itel,BL-32AX,X555,
TECNO/Infinix/itel,BL-32BT,CXAir,
TECNO/Infinix/itel,BL-34AT,K9,
TECNO/Infinix/itel,BL-34BT,Spark2,
TECNO/Infinix/itel,BL-34BX,X609,
TECNO/Infinix/itel,BL-34CT,Spark3,
TECNO/Infinix/itel,BL-34CX,Smart3P,
TECNO/Infinix/itel,BL-34DT,Phantom9,
TECNO/Infinix/itel,BL-34ET,Pop3,
TECNO/Infinix/itel,BL-36BT,"CamX,11,11Pro",
TECNO/Infinix/itel,BL-38AI,P32,
TECNO/Infinix/itel,BL-38AT,Pop2 Power,
TECNO/Infinix/itel,BL-38BT,Pop 5 Go,
TECNO/Infinix/itel,BL-38CI,"A58,Nok C12",
TECNO/Infinix/itel,BL-38CT,Pop 6 Go,
TECNO/Infinix/itel,BL-39AX,"X556,X557",
TECNO/Infinix/itel,BL-39DT,L9,
TECNO/Infinix/itel,BL-39EX,X559,
TECNO/Infinix/itel,BL-39GX,"X608,573",
TECNO/Infinix/itel,BL-39HX,X606,
TECNO/Infinix/itel,BL-39IX,"X605,Note6",
TECNO/Infinix/itel,BL-39JX,HotS3XS3-XX622,small print; reads Hot S3X / S3X / X622
TECNO/Infinix/itel,BL-39KX,"X624,X626",
TECNO/Infinix/itel,BL-39LT,"Spark4,Cam12Air",
TECNO/Infinix/itel,BL-39LX,"X652,X653,S5",
TECNO/Infinix/itel,BL-39MT,Cam15Pro,
TECNO/Infinix/itel,BL-39MX,"S5Pro,X660",
TECNO/Infinix/itel,BL-40DT,T484,
TECNO/Infinix/itel,BL-40ET,L8lite,
TECNO/Infinix/itel,BL-42AX,X572,
TECNO/Infinix/itel,BL-43AX,X603,
TECNO/Infinix/itel,BL-43BX,X604,
TECNO/Infinix/itel,BL-44AX,X571,
TECNO/Infinix/itel,BL-44CT,Cam 16 premier,
TECNO/Infinix/itel,BL-44CX,Zero8,printed "BL44CX"
TECNO/Infinix/itel,BL-45BX,X601,
TECNO/Infinix/itel,BL-46BT,Cam 18 premier,
TECNO/Infinix/itel,BL-48AT,L9Plus,
TECNO/Infinix/itel,BL-48BT,Pop 5,
TECNO/Infinix/itel,BL-49BI,1515,
TECNO/Infinix/itel,BL-49CI,"P11,P12",
TECNO/Infinix/itel,BL-49CT,WX3P,
TECNO/Infinix/itel,BL-49DI,P51,
TECNO/Infinix/itel,BL-49DT,LA7,
TECNO/Infinix/itel,BL-49EI,P33Plus,
TECNO/Infinix/itel,BL-49ET,"LB6,3Air,LC6A",
TECNO/Infinix/itel,BL-49FI,"P36,P37",
TECNO/Infinix/itel,BL-49FT,Cam15&15Air,
TECNO/Infinix/itel,BL-49FX,"Spark5&5Air,Pop4",
TECNO/Infinix/itel,BL-49GT,"Cam17,CG6,CG7",
TECNO/Infinix/itel,BL-49GX,Note7,
TECNO/Infinix/itel,BL-49HT,Cam16,
TECNO/Infinix/itel,BL-49HX,X666,
TECNO/Infinix/itel,BL-49IX,"X612,X612B",
TECNO/Infinix/itel,BL-49JT,CH7,
TECNO/Infinix/itel,BL-49JX,Note10Pro/11Pro,
TECNO/Infinix/itel,BL-49KX,Note11,
TECNO/Infinix/itel,BL-49LX,Hot 12,
TECNO/Infinix/itel,BL-49NT/49NI,POP7PRO/SPK6 GO/SPK GO 2023/SPK GO 2024/A6/A65/A70/S23 4G/Visn 5/Visn 5Plus,very small print; A6/A65 and S23 uncertain
TECNO/Infinix/itel,BL-49OT,"Cam20/Spark 20 Pro,CK6/6n,CK7n",printed as "BL-490T" (letter O)
TECNO/Infinix/itel,BL-49OX,Note30,printed as "BL-490X" (letter O)
TECNO/Infinix/itel,BL-49PT,Pova5 Pro,
TECNO/Infinix/itel,BL-49PX,,no phone printed
TECNO/Infinix/itel,BL-49ST,Spark10C,
TECNO/Infinix/itel,BL-49VT,"Cam30,30 Pro",
TECNO/Infinix/itel,BL-49VX,Note 40 Pro,
TECNO/Infinix/itel,BL-51BX,"Note 8/8i,Hot 10",
TECNO/Infinix/itel,BL-58AT,"X650,Hot8,KC8,CC7,CC6",small print
TECNO/Infinix/itel,BL-58BT,"Pouvoir 4Pro,Spk6,Pou2",small blurred print; first word reads POUVOIR / POVA — check
TECNO/Infinix/itel,BL-58BX,"Hot 9,Hot 9 Play",
TECNO/Infinix/itel,BL-58CT,,no phone printed
TECNO/Infinix/itel,BL-58CX,Hot10i,
TECNO/Infinix/itel,BL-58ET,Pova5,
TECNO/Infinix/itel,BL-AW875A,W4,
TECNO/Infinix/itel,BL-AW878,X5010,
TECNO/Infinix/itel,BL-F32040A,N2s,
TECNO/Infinix/itel,BL-F32066A,WI,
Safaricom,Kicka4,Kicka 4,
Safaricom,kicka5,kicka 5,
Safaricom,Neon Smarta,Neon Smarta,
Safaricom,Neon Ultra,Neon Ultra,
Safaricom,Neon Nova,Neon Nova,
Safaricom,Neon Ray,Neon Ray,
Safaricom,Neon Ray2,Neon Ray2,
Safaricom,Neon Ray Pro,Neon Ray Pro,
OPPO,BL-P601,A53/A59,
OPPO,BL-P615,A37,
OPPO,BL-P619,A57/A39,
OPPO,BL-P631,A77/A73,
OPPO,BL-P649,A83,
OPPO,BL-P673,A5/A7/A3S,
OPPO,BL-P683,A7X/F9Pro,
OPPO,BL-P711,A1K,
OPPO,BL-P729,for realme 5,
OPPO,BL-P817,A35/A15/A15S,printed "A35/A15/A155"
NOKIA,BL-4C,4C,
NOKIA,BL-4L,4L,
NOKIA,BL-4U,4U,
NOKIA,BL-4UL,4UL,
NOKIA,BL-4XL,4XL,
NOKIA,BL-5C,5C,
NOKIA,BL-5CA,5CA,
NOKIA,BL-5J,5J,
NOKIA,WT140,C01 Plus,
NOKIA,S5420AP,C1,
NOKIA,WT141,C1 2nd,
NOKIA,SP210,C1 Plus,
NOKIA,BL-29CI for Nok C10,"C10,C20",
NOKIA,V3760T,C2,
NOKIA,GH5781,C22nd,reads "C2 2nd"
NOKIA,WT510,C21Plus/C31,
NOKIA,WT340,G10/G20,
NOKIA,WT341,G21,
NOKIA,BL L4E,L4E,
NOKIA,WT240,23,
NOKIA,WT242,24,
NOKIA,HE338/HE341,2/2.1,
NOKIA,HE330,3,
NOKIA,HE336,3.1,
NOKIA,WT330,4.2,
NOKIA,HE342,5.1 Plus,
NOKIA,HE316,6,
NOKIA,HE345,6.1,
NOKIA,LC-620,6.2/7.2,
SAMSUNG,9082,9082,
SAMSUNG,HQ 50S,A02S/A03S,
SAMSUNG,SLC-50,A03 CORE,
SAMSUNG,HQ-50SD,A03/A04,
SAMSUNG,WT-S-N28,A05,
SAMSUNG,SLC-51,A05S,
SAMSUNG,EB-BA750ABU,A10,
SAMSUNG,SCUD-WT-N6,A10S/A20S,
SAMSUNG,HQ 70N,A11,
SAMSUNG,EB BA217ABY,A12/A21S,
SAMSUNG,EB-BA136ABY,A13 5G,
SAMSUNG,EB BA505ABU,A20/A30/A50/A30S,
SAMSUNG,EB BA315ABY,A31,
SAMSUNG,EB-BA515ABY,A51,
SAMSUNG,EB-BG781ABY,A52,
SAMSUNG,EB BA705ABU,A70,
SAMSUNG,EB BA715ABY,A71,
SAMSUNG,J1/J100,J1/J100,
SAMSUNG,J1ACE/J110,J1ACE/J110,
SAMSUNG,J2,J2,
SAMSUNG,J4,J4,
SAMSUNG,J5 PRIME,J5 PRIME,
SAMSUNG,J5/G530,J5/G530,
SAMSUNG,J510/J5 2016,J510/J5 2016,
SAMSUNG,J530/J5 Pro,J530/J5 Pro,
SAMSUNG,J7,J7,
SAMSUNG,J7 PRIME,J7 PRIME,
SAMSUNG,EB-BJ730ABE,J7Pro/J720/J730,
SAMSUNG,J710,J710,
SAMSUNG,L700,L700,
SAMSUNG,EB-BN970ABU,Note 10,printed "Note I0"
SAMSUNG,EB-BN972ABU,Note10 Plus,
SAMSUNG,Note3,Note3,
SAMSUNG,Note4,Note4,
SAMSUNG,Note4 edge,Note4 edge,
SAMSUNG,EB-BN920ABE,Note 5,
SAMSUNG,EB-BN950ABE,Note 8,
SAMSUNG,EB-BN965ABU,Note 9,
SAMSUNG,POCKET/S5300/S5360,POCKET/S5300/S5360,
SAMSUNG,S3,S3,
SAMSUNG,S3mini,S3mini,
SAMSUNG,S4,S4,
SAMSUNG,S4mini,S4 mini,
SAMSUNG,S5,S5,
SAMSUNG,S5830,S5830,
SAMSUNG,EB-BG920ABE,S6,
SAMSUNG,EB-BG925ABE,S6 edge,
SAMSUNG,EB-BG928ABE,S6 edge Plus,
SAMSUNG,EB-BG930ABE,S7,
SAMSUNG,EB-BG935ABE,S7 edge,
SAMSUNG,S7562/DUOS,S7562/DUOS,
SAMSUNG,EB-BG950ABE,S8,
SAMSUNG,EB-BG955ABE,S8 Plus,
SAMSUNG,EB-BG960ABE,S9,
SAMSUNG,EB-BG965ABA,S9 PLus,
SAMSUNG,EB-BG973ABU,S10,
SAMSUNG,EB-BG970ABU,S10 Edge,
SAMSUNG,EB-BG975ABU,S10 Plus,
SAMSUNG,EB-BG980ABY,S20,
SAMSUNG,EB-BG985ABY,S20 Plus,
SAMSUNG,EB-BG991ABY,S21,
SAMSUNG,X150/E250,X150/E250,printed "XI50/E250" on the left
HUAWEI,HB434666RBC,E5573,a pocket WiFi router
HUAWEI,HB5V1,Y300,
HUAWEI,HB505076RBC,Y600,
HUAWEI,HB4242B4EBW,Honor 6,
HUAWEI,HB417094EBC,Mate7,
HUAWEI,HB396693ECW,Mate8,
HUAWEI,HB396689ECW,Mate9/Y9 2019,
HUAWEI,HB436486ECW,Mate10,
HUAWEI,HB486586ECW,Mate30,
HUAWEI,HB405979ECW,Nova/Y5 Prime/2018,
HUAWEI,HB3543B4EBW,P7,
HUAWEI,HB3447A9EBW,P8,
HUAWEI,HB3742A0EZC+,P8 lite,printed "HB3742ADEZC+"; the standard code is HB3742A0EZC+
HUAWEI,HB366481ECW,P9/P9 Lite/P10 Lite,
HUAWEI,HB386280ECW,P10/Honor9,
HUAWEI,HB356687ECW,P30 lite,
HUAWEI,HB446486ECW,Y9 Prime/P20 lite 2019,
HUAWEI,HB396481EBC,5X/Y6II,printed small; reads "5X/Y611" = Y6 II
iPhone,IP5 series,"IP5G,5S",
iPhone,IP6 series,"IP6G,6P,6S,6SP",
iPhone,IP7 series,"IP7G,7P",
iPhone,IP8 series,"IP8G,8P",
iPhone,IPX series,"IPX,XR,XS,XSMAX",
iPhone,IP11 series,"IP11,11PRO,11PROMAX",
iPhone,IP12 series,"IP12,12PRO,12PROMAX",
iPhone,IP13 series,"IP13,13PRO,13PROMAX",
iPhone,IP14 series,"IP14,14P,14PRO,14PROMAX",
iPhone,IP15 series,"IP15,15P,15PRO,15PROMAX",
iPhone,IP16 series,"IP16,16P,16PRO,16PROMAX",
Redmi,BM40,M3,
Redmi,BM42,Note3,
Redmi,BM44,"2,2S",
Redmi,BM45,Note2,
Redmi,BM46,RM Note8,poster says Note8; BM46 is normally the Redmi Note 3 — please check
Redmi,BN4A,RM Note 7,
Redmi,BN51,RM 8/8A,
Redmi,BN53,RM 9 Prime,poster text; BN53 is normally Note 9 Pro — please check
Redmi,BN54,RM 10X4G,
Redmi,BN59,RM Note10,
Redmi,BN5A,RM 10,
Redmi,BN5G,RM 10C,
GOOGLE,G013A-B,PIX3,
GOOGLE,G013-B,PIX 3XL,printed; 3 XL pack is normally G013C-B
GOOGLE,G020I-B,PIX4,
GOOGLE,G025E-B,PIX4A 5G,
GOOGLE,G025J-B,PIX 4A,
GOOGLE,G020J-B,PIX 4XL,
GOOGLE,GTB1F,PIX5,
GOOGLE,G27FU,PIX5A / 5A 5G,
GOOGLE,G63QN,PIX6 Pro,
GOOGLE,GMF5Z,PIX7 Pro,
Other,M42421/Smart4G,For Smart / for Voda,
Other,BL-29DI for VL,For VILLAON,
