Battery Reference,Device Brand,Marketing Name,Exact Model Number,Evidence Status,Evidence Source,Condition / Conflict,Claim ID
BL-15FI,itel,A11,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-15FI,P020
BL-15HI,itel,it5082,5082,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-15HI,P021
BL-19CI,itel,it6910,6910,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-19CI,P022
BL-20JT,TECNO,F1,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-20JT,P023
BL-20JT,TECNO,F2,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-20JT,P024
BL-20JT,TECNO,SA6S,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-20JT,P025
BL-20NT,TECNO,T315,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-20NT,P026
BL-24ET,TECNO,Pop 1,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-24ET,P027
BL-24ET,TECNO,Pop 2,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-24ET,P028
BL-24ET,TECNO,Pop 2F,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-24ET,P029
BL-25BI,itel,it5600,5600,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-25BI,P030
BL-25JT,TECNO,WX3,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-25JT,P031
BL-28AT,TECNO,Y3 Plus,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-28ATLONG,P032
BL-28AT,TECNO,Y2,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-28ATLONG,P033
BL-29BT,TECNO,Spark 4 Air,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-29BT,P034
BL-29CI,itel,A36,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-29CI,P035
BL-29FT,TECNO,T353,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-29FT,P036
BL-32AT,TECNO,Camon CX,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-32AT,P037
BL-34CT,TECNO,Spark 3,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-34CT,P038
BL-34ET,TECNO,Pop 3,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-34ET,P039
BL-36BT,TECNO,Camon X,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-36BT,P040
BL-36BT,TECNO,Camon 11,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-36BT,P041
BL-36BT,TECNO,Camon 11 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-36BT,P042
BL-38AT,TECNO,Pop 2 Power,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-38AT,P043
BL-38BT,TECNO,Pop 5 Go,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-38BT,P044
BL-38CT,TECNO,Pop 6 Go,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-38CT,P045
BL-39AX,Infinix,X556,X556,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39AX,P046
BL-39AX,Infinix,X557,X557,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39AX,P047
BL-39EX,Infinix,X559,X559,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39EX,P048
BL-39JX,Infinix,Hot S3X,X622,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39JX,P049
BL-39KX,Infinix,X624,X624,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39KX,P050
BL-39KX,Infinix,X626,X626,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39KX,P051
BL-43BX,Infinix,X604,X604,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-43BX,P052
BL-48BT,TECNO,Pop 5,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-48BT,P053
BL-49CI,itel,P11,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49CI,P054
BL-49CI,itel,P12,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49CI,P055
BL-49DT,TECNO,LA7,LA7,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49DT,P056
BL-49ET,TECNO,LB6,LB6,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49ET,P057
BL-49ET,TECNO,Pouvoir 3 Air,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49ET,P058
BL-49ET,TECNO,LC6A,LC6A,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49ET,P059
BL-49FT,TECNO,Camon 15,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49FT,P060
BL-49FT,TECNO,Camon 15 Air,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49FT,P061
BL-49GX,Infinix,Note 7,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49GX,P062
BL-49JT,TECNO,CH7,CH7,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49JT,P063
BL-49JX,Infinix,Note 10 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49JX,P064
BL-49JX,Infinix,Note 11 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49JX,P065
BL-51BX,Infinix,Note 8,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-51BX,P066
BL-51BX,Infinix,Note 8i,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-51BX,P067
BL-51BX,Infinix,Hot 10,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-51BX,P068
BL-58BT,TECNO,Pouvoir 4 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-58BT,P069
BL-58BT,TECNO,Spark 6,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-58BT,P070
BL-58BT,TECNO,Pouvoir 2,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-58BT,P071
BL-58BX,Infinix,Hot 9,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-58BX,P072
BL-58BX,Infinix,Hot 9 Play,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-58BX,P073
G530,Samsung,Galaxy J5,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: J5/G530,P074
G530,Samsung,Galaxy Grand Prime,G530,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: J5/G530,P075
IP 11,Apple,iPhone 11,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP11 series,P076
IP 11 PRO BATTERY,Apple,iPhone 11 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP11 series,P077
IP 11 PROMAX,Apple,iPhone 11 Pro Max,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP11 series,P078
IP 12,Apple,iPhone 12,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP12 series,P079
IP 12 PRO,Apple,iPhone 12 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP12 series,P080
IP 12 PROMAX,Apple,iPhone 12 Pro Max,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP12 series,P081
IP 13,Apple,iPhone 13,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP13 series,P082
IP 13 PRO,Apple,iPhone 13 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP13 series,P083
IP 13 PROMAX,Apple,iPhone 13 Pro Max,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP13 series,P084
IP 14,Apple,iPhone 14,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP14 series,P085
IP 14 PRO,Apple,iPhone 14 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP14 series,P086
IP 14 PROMAX,Apple,iPhone 14 Pro Max,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP14 series,P087
IP X,Apple,iPhone X,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IPX series,P088
IP XR,Apple,iPhone XR,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IPX series,P089
NOTE 4,Samsung,Galaxy Note 4,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: Note4,P090
WT140,Nokia,C01 Plus,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: WT140,P091
