Battery Reference,Device Brand,Marketing Name,Exact Model Number,Evidence Status,Evidence Source,Condition / Conflict,Claim ID
BL-15BI,itel,A14,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-15BI,V3-018
BL-15BI,itel,it1409,1409,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-15BI,V3-019
BL-15FI,itel,A11,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-15FI,V3-020
BL-15HI,itel,it5082,5082,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-15HI,V3-021
BL-19CI,itel,it6910,6910,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-19CI,V3-022
BL-20JT,TECNO,F1,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-20JT,V3-023
BL-20JT,TECNO,F2,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-20JT,V3-024
BL-20JT,TECNO,SA6S,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-20JT,V3-025
BL-20NT,TECNO,T315,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-20NT,V3-026
BL-24ET,TECNO,Pop 1,F3,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-24ET,V3-027
BL-24ET,TECNO,Pop 2,B1,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-24ET,V3-028
BL-24ET,TECNO,Pop 2F,B1F,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-24ET,V3-029
BL-25BI,itel,it5600,5600,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-25BI,V3-030
BL-25JT,TECNO,WX3,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-25JT,V3-031
BL-29BT,TECNO,Spark 4 Air,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-29BT,V3-032
BL-29CI,itel,A36,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-29CI,V3-033
BL-29FT,TECNO,T353,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-29FT,V3-034
BL-32AT,TECNO,Camon CX,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-32AT,V3-035
BL-34CT,TECNO,Spark 3,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-34CT,V3-036
BL-34ET,TECNO,Pop 3,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-34ET,V3-037
BL-36BT,TECNO,Camon X,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-36BT,V3-038
BL-36BT,TECNO,Camon 11,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-36BT,V3-039
BL-36BT,TECNO,Camon 11 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-36BT,V3-040
BL-38AT,TECNO,Pop 2 Power,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-38AT,V3-041
BL-38BT,TECNO,Pop 5 Go,BD1,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-38BT,V3-042
BL-38CT,TECNO,Pop 6 Go,BE6,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-38CT,V3-043
BL-39AX,Infinix,X556,X556,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39AX,V3-044
BL-39AX,Infinix,X557,X557,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39AX,V3-045
BL-39EX,Infinix,X559,X559,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39EX,V3-046
BL-39JX,Infinix,Hot S3X,X622,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39JX,V3-047
BL-39KX,Infinix,X624,X624,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39KX,V3-048
BL-39KX,Infinix,X626,X626,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-39KX,V3-049
BL-43BX,Infinix,X604,X604,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-43BX,V3-050
BL-48BT,TECNO,Pop 5,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-48BT,V3-051
BL-49CI,itel,P11,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49CI,V3-052
BL-49CI,itel,P12,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49CI,V3-053
BL-49DT,TECNO,LA7,LA7,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49DT,V3-054
BL-49ET,TECNO,LB6,LB6,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49ET,V3-055
BL-49ET,TECNO,Pouvoir 3 Air,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49ET,V3-056
BL-49ET,TECNO,LC6A,LC6A,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49ET,V3-057
BL-49FT,TECNO,Camon 15,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49FT,V3-058
BL-49FT,TECNO,Camon 15 Air,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49FT,V3-059
BL-49GX,Infinix,Note 7,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49GX,V3-060
BL-49JT,TECNO,CH7,CH7,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49JT,V3-061
BL-49JX,Infinix,Note 10 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49JX,V3-062
BL-49JX,Infinix,Note 11 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-49JX,V3-063
BL-51BX,Infinix,Note 8,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-51BX,V3-064
BL-51BX,Infinix,Note 8i,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-51BX,V3-065
BL-51BX,Infinix,Hot 10,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-51BX,V3-066
BL-58BT,TECNO,Pouvoir 4 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-58BT,V3-067
BL-58BT,TECNO,Spark 6,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-58BT,V3-068
BL-58BT,TECNO,Pouvoir 2,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-58BT,V3-069
BL-58BX,Infinix,Hot 9,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-58BX,V3-070
BL-58BX,Infinix,Hot 9 Play,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: BL-58BX,V3-071
G530,Samsung,Galaxy J5,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: J5/G530,V3-072
G530,Samsung,Galaxy Grand Prime,G530,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: J5/G530,V3-073
IP 11,Apple,iPhone 11,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP11 series,V3-074
IP 11 PRO BATTERY,Apple,iPhone 11 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP11 series,V3-075
IP 11 PROMAX,Apple,iPhone 11 Pro Max,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP11 series,V3-076
IP 12,Apple,iPhone 12,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP12 series,V3-077
IP 12 PRO,Apple,iPhone 12 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP12 series,V3-078
IP 12 PROMAX,Apple,iPhone 12 Pro Max,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP12 series,V3-079
IP 13,Apple,iPhone 13,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP13 series,V3-080
IP 13 PRO,Apple,iPhone 13 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP13 series,V3-081
IP 13 PROMAX,Apple,iPhone 13 Pro Max,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP13 series,V3-082
IP 14,Apple,iPhone 14,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP14 series,V3-083
IP 14 PRO,Apple,iPhone 14 Pro,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP14 series,V3-084
IP 14 PROMAX,Apple,iPhone 14 Pro Max,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IP14 series,V3-085
IP X,Apple,iPhone X,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IPX series,V3-086
IP XR,Apple,iPhone XR,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: IPX series,V3-087
NOTE 4,Samsung,Galaxy Note 4,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: Note4,V3-088
WT140,Nokia,C01 Plus,,Supplier claim,GoldPlus Battery Original compatible phone list (client poster received 2026-09-20),Poster battery code: WT140,V3-089
A10S,Samsung,Galaxy A10s,SM-A107,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-090
A10S,Samsung,Galaxy A20s,SM-A207,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-091
A32/5G,Samsung,Galaxy A32 5G,SM-A326,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Technical code per client: EB-BA426ABY. NOT the Galaxy A32 4G (SM-A325).,V3-092
A32/5G,Samsung,Galaxy A42 5G,SM-A426,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Technical code per client: EB-BA426ABY. NOT the Galaxy A32 4G (SM-A325).,V3-093
A32/5G,Samsung,Galaxy A72 4G,SM-A725,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Technical code per client: EB-BA426ABY. NOT the Galaxy A32 4G (SM-A325).,V3-094
A32/5G,Samsung,Galaxy A72 5G,SM-A726,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Technical code per client: EB-BA426ABY. NOT the Galaxy A32 4G (SM-A325).,V3-095
A32/5G,Samsung,Galaxy M22,SM-M225,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Technical code per client: EB-BA426ABY. NOT the Galaxy A32 4G (SM-A325).,V3-096
A32/5G,Samsung,Galaxy M32,SM-M325,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Technical code per client: EB-BA426ABY. NOT the Galaxy A32 4G (SM-A325).,V3-097
A11/BLP727,OPPO,A11,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),BLP727 family.,V3-098
A11/BLP727,OPPO,A11x,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),BLP727 family.,V3-099
A11/BLP727,OPPO,A5 (2020),,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),BLP727 family.,V3-100
A11/BLP727,OPPO,A9 (2020),,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),BLP727 family.,V3-101
A11/BLP727,Realme,5,RMX1911,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client lists these under the A11/BLP727 battery; the phones' own pack is BLP729 — needs a GoldPlus packaging or fit check.,V3-102
A11/BLP727,Realme,5s,RMX1925,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client lists these under the A11/BLP727 battery; the phones' own pack is BLP729 — needs a GoldPlus packaging or fit check.,V3-103
A11/BLP727,Realme,5i,RMX2030,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client lists these under the A11/BLP727 battery; the phones' own pack is BLP729 — needs a GoldPlus packaging or fit check.,V3-104
A11/BLP727,Realme,C3,RMX2020,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client lists these under the A11/BLP727 battery; the phones' own pack is BLP729 — needs a GoldPlus packaging or fit check.,V3-105
A11/BLP727,Realme,C11,RMX2185,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client lists these under the A11/BLP727 battery; the phones' own pack is BLP729 — needs a GoldPlus packaging or fit check.,V3-106
A11/BLP727,Realme,C20,RMX3061,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client lists these under the A11/BLP727 battery; the phones' own pack is BLP729 — needs a GoldPlus packaging or fit check.,V3-107
A11/BLP727,Realme,C21,RMX3201,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client lists these under the A11/BLP727 battery; the phones' own pack is BLP729 — needs a GoldPlus packaging or fit check.,V3-108
A11/BLP727,Realme,C20A,RMX3063,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Bangladesh market name of the C20 (RMX3061/RMX3063).,V3-109
A11/BLP727,Realme,C21Y,RMX3261,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),Client-listed; pack family not confirmed by us — needs packaging or fit check.,V3-110
A11/BLP727,Realme,6i,RMX2040,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),CONFLICT: the global Realme 6i (RMX2040) uses BLP771 and the India RMX2002 a different pack; do not publish without a GoldPlus fit test.,V3-111
A11/BLP727,Realme,C25,RMX3191,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),CONFLICT: the Realme C25 (RMX3191/RMX3193) uses the 6000 mAh BLP793 pack; do not publish without a GoldPlus fit test.,V3-112
BL-15DI,TECNO,T350,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration) + printed list (BL-15DT = T350),"Client: BL-15DI and BL-15DT are the same pack (one TECNO, one itel), usually written BL-15DI/DT.",V3-113
BL-681,OPPO,F9,,Supplier claim,"Client answer 2026-09-20 (GoldPlus supplier declaration) + stock list ""OPPO F9 (BL 681)""",,V3-114
BL-681,OPPO,F9 Pro,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration) + printed list (BL-P683 = A7X/F9 Pro),Client: BLP681 and BLP683 are used interchangeably. Kept as two technical codes.,V3-115
BL-681,OPPO,A7x,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration) + printed list (BL-P683 = A7X/F9 Pro),Client: BLP681 and BLP683 are used interchangeably. Kept as two technical codes.,V3-116
NOKIA C1,Nokia,C1 (2019),TA-1165,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration) + printed list (S5420AP = C1),"Identity: client sells it simply as ""C1""; the printed list has separate packs for C1 2nd Edition (WT141) and C1 Plus (SP210). Confirm the generation from the packaging before publishing.",V3-117
VIVO B-B1,Vivo,Y55,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-118
VIVO B-B1,Vivo,Y55A,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-119
VIVO B-B1,Vivo,Y55L,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-120
VIVO B-B1,Vivo,Y55s,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"CONFLICT: ""Y55s"" is also a 2021+ 5G phone with a different pack; record the exact legacy model before publishing.",V3-121
VIVO B-B2,Vivo,V5,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-122
VIVO B-B2,Vivo,V5s,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-123
VIVO B-B2,Vivo,V5 Lite,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-124
VIVO B-B2,Vivo,Y65,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-125
VIVO B-B2,Vivo,Y66,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-126
VIVO B-B2,Vivo,Y66L,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-127
VIVO B-B2,Vivo,Y67,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-128
VIVO B-B2,Vivo,Y67L,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-129
VIVO B-B2,Vivo,Y69,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-130
VIVO B-D2,Vivo,X20 Plus,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-131
VIVO B-D2,Vivo,X20 Plus A,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-132
VIVO B-D2,Vivo,X20 Plus UD,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),,V3-133
VIVO B-D2,Vivo,X20,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),CONFLICT: the ordinary Vivo X20 / X20A uses the B-D1 pack; B-D2 is the X20 Plus family.,V3-134
4UL,Nokia,Asha 500,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),CONFLICT: the client lists the Asha 500 under BOTH BL-4U and BL-4UL; one phone takes one pack. Staged under BL-4U (with the 501/503); confirm before adding it here.,V3-135
4L,Nokia,E71,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-136
4L,Nokia,E71x,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-137
4L,Nokia,E72,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-138
4L,Nokia,E63,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-139
4L,Nokia,E90,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-140
4L,Nokia,E52,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-141
4L,Nokia,E55,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-142
4L,Nokia,E61i,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-143
4L,Nokia,E6,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-144
4L,Nokia,E73,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-145
4L,Nokia,N97,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-146
4L,Nokia,N810,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-147
4L,Nokia,N800,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-148
4L,Nokia,6650 Fold,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-149
4L,Nokia,6760 Slide,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-150
4L,Nokia,6790 Surge,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Standard Nokia code is BP-4L; client wording ""BL-4L"".",V3-151
4U,Nokia,Asha 206,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-152
4U,Nokia,Asha 210,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-153
4U,Nokia,Asha 300,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-154
4U,Nokia,Asha 301,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-155
4U,Nokia,Asha 305,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-156
4U,Nokia,Asha 306,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-157
4U,Nokia,Asha 308,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-158
4U,Nokia,Asha 309,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-159
4U,Nokia,Asha 310,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-160
4U,Nokia,Asha 311,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-161
4U,Nokia,Asha 500,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-162
4U,Nokia,Asha 501,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-163
4U,Nokia,Asha 503,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-164
4U,Nokia,E66,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-165
4U,Nokia,E75,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client also wrote ""etc."" — not stored; only named phones.",V3-166
4UL,Nokia,3310 3G,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote ""Asha 220, 225, 230"" — those phones are sold as Nokia 220 / 225 / 230, recorded that way (the 225 once). Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing.",V3-167
4UL,Nokia,3310 4G,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote ""Asha 220, 225, 230"" — those phones are sold as Nokia 220 / 225 / 230, recorded that way (the 225 once). Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing.",V3-168
4UL,Nokia,225,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote ""Asha 220, 225, 230"" — those phones are sold as Nokia 220 / 225 / 230, recorded that way (the 225 once). Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing.",V3-169
4UL,Nokia,225 Dual SIM,,Supplier claim,Client answer 2026-09-20 (GoldPlus supplier declaration),"Client wrote ""Asha 220, 225, 230"" — those phones are sold as Nokia 220 / 225 / 230, recorded that way (the 225 once). Names such as 3310, 225, 5310 and 6310 span generations; confirm the generation (and BL-4UL vs BL-4WL for the 6310) before publishing.",V3-170
