GoldPlus SKU,Website battery code,Product name today,Technical / original pack code,Reference capacity (mAh) — ORIGINAL pack,Reference voltage (V) — ORIGINAL pack,Basis for the reference,Capacity / voltage printed on the GoldPlus pack (staff to fill),Phone brands,Phones recorded,Compatible phones (name + model number),Search keywords / aliases,Suggested SEO title (use once matches are verified),Suggested meta description (use once matches are verified)
GP-BAT-A12A21S,A12/A21S,GoldPlus Replacement Battery A12/A21S — fits the A12 and A21s,EB-BA217ABY,5000,3.85,public specification of the original pack,,Samsung,2,Samsung Galaxy A12 (SM-A125); Samsung Galaxy A21s (SM-A217),"A12/A21S, EB-BA217ABY, Samsung Galaxy A12 battery, Samsung Galaxy A21s battery, SM-A125 battery, SM-A217 battery","GoldPlus A12/A21S battery for Samsung Galaxy A12, Samsung Galaxy A21s","GoldPlus replacement battery A12/A21S (replaces EB-BA217ABY) for Samsung Galaxy A12, Samsung Galaxy A21s. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-A20A30A50,A20/A30/A50,"GoldPlus Replacement Battery A20/A30/A50 — fits the A20, A30 and A50",EB-BA505ABU,4000,3.85,public specification of the original pack,,Samsung,4,Samsung Galaxy A20 (SM-A205); Samsung Galaxy A30 (SM-A305); Samsung Galaxy A30s; Samsung Galaxy A50 (SM-A505),"A20/A30/A50, EB-BA505ABU, Samsung Galaxy A20 battery, Samsung Galaxy A30 battery, Samsung Galaxy A30s battery, Samsung Galaxy A50 battery, SM-A205 battery, SM-A305 battery, SM-A505 battery","GoldPlus A20/A30/A50 battery for Samsung Galaxy A20, Samsung Galaxy A3","GoldPlus replacement battery A20/A30/A50 (replaces EB-BA505ABU) for Samsung Galaxy A20, Samsung Galaxy A30, Samsung Galaxy A30s, Samsung Galaxy A50. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-A325G,A32/5G,GoldPlus Replacement Battery A32/5G — fits the A32 5G,EB-BA426ABY,5000,3.86,public specification of the original pack,,Samsung,6,Samsung Galaxy A32 5G (SM-A326); Samsung Galaxy A42 5G (SM-A426); Samsung Galaxy A72 4G (SM-A725); Samsung Galaxy A72 5G (SM-A726); Samsung Galaxy M22 (SM-M225); Samsung Galaxy M32 (SM-M325),"A32/5G, EB-BA426ABY, Samsung Galaxy A32 5G battery, Samsung Galaxy A42 5G battery, Samsung Galaxy A72 4G battery, Samsung Galaxy A72 5G battery, Samsung Galaxy M22 battery, Samsung Galaxy M32 battery, SM-A326 battery, SM-A426 battery, SM-A725 battery, SM-A726 battery, SM-M225 battery, SM-M325 battery","GoldPlus A32/5G battery for Samsung Galaxy A32 5G, Samsung Galaxy A42 ","GoldPlus replacement battery A32/5G (replaces EB-BA426ABY) for Samsung Galaxy A32 5G, Samsung Galaxy A42 5G, Samsung Galaxy A72 4G, Samsung Galaxy A72 5G, Samsung Galaxy M22, Samsung Galaxy M32. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL10BI,BL-10BI,GoldPlus Battery GP-10BI,BL-10BI,1000,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,itel,1,itel it5027 (5027),"BL-10BI, BL10BI, GP-10BI, itel it5027 battery, 5027 battery",GoldPlus BL-10BI battery for itel it5027,GoldPlus replacement battery BL-10BI for itel it5027. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL10CI,BL-10CI,GoldPlus Battery GP-10CI,BL-10CI,1000,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,itel,1,itel it2175A (2175A),"BL-10CI, BL10CI, GP-10CI, itel it2175A battery, 2175A battery",GoldPlus BL-10CI battery for itel it2175A,GoldPlus replacement battery BL-10CI for itel it2175A. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL11CT,BL-11CT,GoldPlus Battery GP-11CT,BL-11CT,1100,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,1,TECNO T660,"BL-11CT, BL11CT, GP-11CT, TECNO T660 battery",GoldPlus BL-11CT battery for TECNO T660,GoldPlus replacement battery BL-11CT for TECNO T660. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL11DI,BL-11DI,GoldPlus Battery GP-11DI,BL-11DI,1100,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,itel,1,itel it5081 (5081),"BL-11DI, BL11DI, GP-11DI, itel it5081 battery, 5081 battery",GoldPlus BL-11DI battery for itel it5081,GoldPlus replacement battery BL-11DI for itel it5081. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL11GT,BL-11GT,GoldPlus Battery GP-11GT,BL-11GT,1100,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,1,TECNO T302,"BL-11GT, BL11GT, GP-11GT, TECNO T302 battery",GoldPlus BL-11GT battery for TECNO T302,GoldPlus replacement battery BL-11GT for TECNO T302. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL15BI,BL-15BI,GoldPlus Battery GP-15BI,BL-15BI,1500,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,itel,2,itel A14; itel it1409 (1409),"BL-15BI, BL15BI, GP-15BI, itel A14 battery, itel it1409 battery, 1409 battery","GoldPlus BL-15BI battery for itel A14, itel it1409","GoldPlus replacement battery BL-15BI for itel A14, itel it1409. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL15DI,BL-15DI,GoldPlus Battery GP-15DI,BL-15DI,1500,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,1,TECNO T350,"BL-15DI, BL15DI, GP-15DI, TECNO T350 battery",GoldPlus BL-15DI battery for TECNO T350,GoldPlus replacement battery BL-15DI for TECNO T350. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL15FI,BL-15FI,GoldPlus Battery GP-15FI,BL-15FI,1500,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,itel,1,itel A11,"BL-15FI, BL15FI, GP-15FI, itel A11 battery",GoldPlus BL-15FI battery for itel A11,GoldPlus replacement battery BL-15FI for itel A11. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL15HI,BL-15HI,GoldPlus Battery GP-15HI,BL-15HI,1500,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,itel,1,itel it5082 (5082),"BL-15HI, BL15HI, GP-15HI, itel it5082 battery, 5082 battery",GoldPlus BL-15HI battery for itel it5082,GoldPlus replacement battery BL-15HI for itel it5082. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL19CI,BL-19CI,GoldPlus Battery GP-19CI,BL-19CI,1900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,itel,1,itel it6910 (6910),"BL-19CI, BL19CI, GP-19CI, itel it6910 battery, 6910 battery",GoldPlus BL-19CI battery for itel it6910,GoldPlus replacement battery BL-19CI for itel it6910. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL20JT,BL-20JT,GoldPlus Battery GP-20JT,BL-20JT,2000,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,3,TECNO F1; TECNO F2; TECNO SA6S,"BL-20JT, BL20JT, GP-20JT, TECNO F1 battery, TECNO F2 battery, TECNO SA6S battery","GoldPlus BL-20JT battery for TECNO F1, TECNO F2, TECNO SA6S","GoldPlus replacement battery BL-20JT for TECNO F1, TECNO F2, TECNO SA6S. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL20NT,BL-20NT,GoldPlus Battery GP-20NT,BL-20NT,2000,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,1,TECNO T315,"BL-20NT, BL20NT, GP-20NT, TECNO T315 battery",GoldPlus BL-20NT battery for TECNO T315,GoldPlus replacement battery BL-20NT for TECNO T315. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL24ET,BL-24ET,GoldPlus Battery GP-24ET,BL-24ET,2400,3.82,seen on independent parts listings (2026-09-20),,TECNO,3,TECNO Pop 1 (F3); TECNO Pop 2 (B1); TECNO Pop 2F (B1F),"BL-24ET, BL24ET, GP-24ET, TECNO Pop 1 battery, TECNO Pop 2 battery, TECNO Pop 2F battery, F3 battery, B1 battery, B1F battery","GoldPlus BL-24ET battery for TECNO Pop 1, TECNO Pop 2, TECNO Pop 2F","GoldPlus replacement battery BL-24ET for TECNO Pop 1, TECNO Pop 2, TECNO Pop 2F. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL25BI,BL-25BI,GoldPlus Battery GP-25BI,BL-25BI,2500,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,itel,1,itel it5600 (5600),"BL-25BI, BL25BI, GP-25BI, itel it5600 battery, 5600 battery",GoldPlus BL-25BI battery for itel it5600,GoldPlus replacement battery BL-25BI for itel it5600. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL25JT,BL-25JT,GoldPlus Battery GP-25JT,BL-25JT,2500,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,1,TECNO WX3,"BL-25JT, BL25JT, GP-25JT, TECNO WX3 battery",GoldPlus BL-25JT battery for TECNO WX3,GoldPlus replacement battery BL-25JT for TECNO WX3. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL28AT,BL-28AT,GoldPlus Battery GP-28AT,BL-28AT,2800,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,2,TECNO Camon Y3 Plus; TECNO Y2,"BL-28AT, BL28AT, GP-28AT, TECNO Camon Y3 Plus battery, TECNO Y2 battery","GoldPlus BL-28AT battery for TECNO Camon Y3 Plus, TECNO Y2","GoldPlus replacement battery BL-28AT for TECNO Camon Y3 Plus, TECNO Y2. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL29BT,BL-29BT,GoldPlus Battery GP-29BT,BL-29BT,2900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,1,TECNO Spark 4 Air,"BL-29BT, BL29BT, GP-29BT, TECNO Spark 4 Air battery",GoldPlus BL-29BT battery for TECNO Spark 4 Air,GoldPlus replacement battery BL-29BT for TECNO Spark 4 Air. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL29CI,BL-29CI,GoldPlus Battery GP-29CI,BL-29CI,2900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,itel,1,itel A36,"BL-29CI, BL29CI, GP-29CI, itel A36 battery",GoldPlus BL-29CI battery for itel A36,GoldPlus replacement battery BL-29CI for itel A36. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL29FT,BL-29FT,GoldPlus Battery GP-29FT,BL-29FT,2900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,1,TECNO T353,"BL-29FT, BL29FT, GP-29FT, TECNO T353 battery",GoldPlus BL-29FT battery for TECNO T353,GoldPlus replacement battery BL-29FT for TECNO T353. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL32AT,BL-32AT,GoldPlus Battery GP-32AT CX,BL-32AT,3200,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,1,TECNO Camon CX,"BL-32AT, BL32AT, GP-32AT, TECNO Camon CX battery",GoldPlus BL-32AT battery for TECNO Camon CX,GoldPlus replacement battery BL-32AT for TECNO Camon CX. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL34CT,BL-34CT,GoldPlus Battery GP-34CT,BL-34CT,3400,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,1,TECNO Spark 3,"BL-34CT, BL34CT, GP-34CT, TECNO Spark 3 battery",GoldPlus BL-34CT battery for TECNO Spark 3,GoldPlus replacement battery BL-34CT for TECNO Spark 3. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL34ET,BL-34ET,GoldPlus Battery GP-34ET,BL-34ET,3500,,seen on independent parts listings (2026-09-20),,TECNO,1,TECNO Pop 3,"BL-34ET, BL34ET, GP-34ET, TECNO Pop 3 battery",GoldPlus BL-34ET battery for TECNO Pop 3,GoldPlus replacement battery BL-34ET for TECNO Pop 3. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL36BT,BL-36BT,GoldPlus Battery GP-36BT,BL-36BT,3600,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,3,TECNO Camon 11; TECNO Camon 11 Pro; TECNO Camon X,"BL-36BT, BL36BT, GP-36BT, TECNO Camon 11 battery, TECNO Camon 11 Pro battery, TECNO Camon X battery","GoldPlus BL-36BT battery for TECNO Camon 11, TECNO Camon 11 Pro, TECNO","GoldPlus replacement battery BL-36BT for TECNO Camon 11, TECNO Camon 11 Pro, TECNO Camon X. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL38AT,BL-38AT,GoldPlus Battery GP-38AT,BL-38AT,4000,3.85,seen on independent parts listings (2026-09-20),,TECNO,1,TECNO Pop 2 Power,"BL-38AT, BL38AT, GP-38AT, TECNO Pop 2 Power battery",GoldPlus BL-38AT battery for TECNO Pop 2 Power,GoldPlus replacement battery BL-38AT for TECNO Pop 2 Power. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL38BT,BL-38BT,GoldPlus Battery GP-38BT,BL-38BT,4000,,seen on independent parts listings (2026-09-20),,TECNO,2,TECNO Pop 5 Go (BD1); TECNO Pop 6 Go (BE6),"BL-38BT, BL38BT, GP-38BT, TECNO Pop 5 Go battery, TECNO Pop 6 Go battery, BD1 battery, BE6 battery","GoldPlus BL-38BT battery for TECNO Pop 5 Go, TECNO Pop 6 Go","GoldPlus replacement battery BL-38BT for TECNO Pop 5 Go, TECNO Pop 6 Go. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL38CT,BL-38CT,GoldPlus Replacement Battery BL-38CT — fits the Pop 6,BL-38CT,3850,,seen on independent parts listings (2026-09-20),,TECNO,1,TECNO Pop 6 Go (BE6),"BL-38CT, BL38CT, GP-38CT, TECNO Pop 6 Go battery, BE6 battery",GoldPlus BL-38CT battery for TECNO Pop 6 Go,GoldPlus replacement battery BL-38CT for TECNO Pop 6 Go. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL39AX,BL-39AX,GoldPlus Battery GP-39AX,BL-39AX,4000,,seen on independent parts listings (2026-09-20),,Infinix,2,Infinix Hot 4 (X557); Infinix Hot 4 Pro (X556),"BL-39AX, BL39AX, GP-39AX, Infinix Hot 4 battery, Infinix Hot 4 Pro battery, X557 battery, X556 battery","GoldPlus BL-39AX battery for Infinix Hot 4, Infinix Hot 4 Pro","GoldPlus replacement battery BL-39AX for Infinix Hot 4, Infinix Hot 4 Pro. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL39EX,BL-39EX,GoldPlus Battery GP-39EX,BL-39EX,4000,,seen on independent parts listings (2026-09-20),,Infinix,1,Infinix Hot 5 (X559),"BL-39EX, BL39EX, GP-39EX, Infinix Hot 5 battery, X559 battery",GoldPlus BL-39EX battery for Infinix Hot 5,GoldPlus replacement battery BL-39EX for Infinix Hot 5. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL39JX,BL-39JX,GoldPlus Battery GP-39JX,BL-39JX,3900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,Infinix,1,Infinix Hot S3X (X622),"BL-39JX, BL39JX, GP-39JX, Infinix Hot S3X battery, X622 battery",GoldPlus BL-39JX battery for Infinix Hot S3X,GoldPlus replacement battery BL-39JX for Infinix Hot S3X. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL39KX,BL-39KX,GoldPlus Battery GP-39KX,BL-39KX,3900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,Infinix,3,Infinix Hot 7 (X624); Infinix Hot 7 Pro (X625D); Infinix S4 (X626),"BL-39KX, BL39KX, GP-39KX, Infinix Hot 7 battery, Infinix Hot 7 Pro battery, Infinix S4 battery, X624 battery, X625D battery, X626 battery","GoldPlus BL-39KX battery for Infinix Hot 7, Infinix Hot 7 Pro, Infinix","GoldPlus replacement battery BL-39KX for Infinix Hot 7, Infinix Hot 7 Pro, Infinix S4. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL43BX,BL-43BX,GoldPlus Battery GP-43BX,BL-43BX,4300,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,Infinix,1,Infinix Note 5 (X604),"BL-43BX, BL43BX, GP-43BX, Infinix Note 5 battery, X604 battery",GoldPlus BL-43BX battery for Infinix Note 5,GoldPlus replacement battery BL-43BX for Infinix Note 5. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL48BT,BL-48BT,GoldPlus Battery GP-48BT,BL-48BT,4800,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,1,TECNO Pop 5 (BD2),"BL-48BT, BL48BT, GP-48BT, TECNO Pop 5 battery, BD2 battery",GoldPlus BL-48BT battery for TECNO Pop 5,GoldPlus replacement battery BL-48BT for TECNO Pop 5. Check your phone's exact model number or the code on your old battery before you order.
GP-BAT-BL49CI,BL-49CI,GoldPlus Battery GP-49CI,BL-49CI,4900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,itel,2,itel P11; itel P12,"BL-49CI, BL49CI, GP-49CI, itel P11 battery, itel P12 battery","GoldPlus BL-49CI battery for itel P11, itel P12","GoldPlus replacement battery BL-49CI for itel P11, itel P12. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL49DT,BL-49DT,GoldPlus Battery GP-49DT,BL-49DT,4900,,Transsion code convention (the two digits = capacity ÷ 100); voltage not stated,,TECNO,2,TECNO Pouvoir 1 (LA6); TECNO Pouvoir 2 (LA7),"BL-49DT, BL49DT, GP-49DT, TECNO Pouvoir 1 battery, TECNO Pouvoir 2 battery, LA6 battery, LA7 battery","GoldPlus BL-49DT battery for TECNO Pouvoir 1, TECNO Pouvoir 2","GoldPlus replacement battery BL-49DT for TECNO Pouvoir 1, TECNO Pouvoir 2. Check your phone's exact model number or the code on your old battery before you order."
GP-BAT-BL49ET,BL-49ET,GoldPlus Battery GP-49ET,BL-49ET,5000,,seen on independent parts listings (2026-09-20),,TECNO,3,TECNO Pop 2 Plus (BA2); TECNO Pouvoir 2 Air (LB6); TECNO Pouvoir 3 Air (LC6A),"BL-49ET, BL49ET, GP-49ET, TECNO Pop 2 Plus battery, TECNO Pouvoir 2 Air battery, TECNO Pouvoir 3 Air battery, BA2 battery, LB6 battery, LC6A battery","GoldPlus BL-49ET battery for TECNO Pop 2 Plus, TECNO Pouvoir 2 Air, TE","GoldPlus replacement battery BL-49ET for TECNO Pop 2 Plus, TECNO Pouvoir 2 Air, TECNO Pouvoir 3 Air. Check your phone's exact model number or the code on your old battery before you order."
