"Claim ID","Source No.","Provisional SKU","Battery Reference","Device Brand","Series / Family","Marketing Name","Exact Model Number","Match Rule","Evidence Status","Evidence Source","Source URL","Condition / Conflict"
"16","15","GP-BAT-BL39JX-R1","BL-39JX","Infinix","Hot","Hot 6X","X623","Exact only after model confirmation","Supplier claim","Supplier listing","https://www.alibaba.com/product-detail/Best-cell-phone-li-polymer-battery_1600161915346.html",""
"17","16","GP-BAT-BL39KX-R1","BL-39KX","Infinix","Hot","Hot 7","X624","Exact only after model confirmation","Supplier cross-check","Dama Mobile Spares","https://damamobilespares.co.ke/product/infinix-x624-baterrybl-39kx/",""
"18","16","GP-BAT-BL39KX-R1","BL-39KX","Infinix","Hot","Hot 7 Pro","X625D","Exact only after model confirmation","Supplier cross-check","Digital Store Kenya","https://www.digitalstore.co.ke/products/infinix-x626b-x625d-s4-hot-7-pro-smartphone-replacement-battery-bl-39kx",""
"19","16","GP-BAT-BL39KX-R1","BL-39KX","Infinix","S","S4","X626/X626B","Exact only after model confirmation","Supplier cross-check","Digital Store Kenya","https://www.digitalstore.co.ke/products/infinix-x626b-x625d-s4-hot-7-pro-smartphone-replacement-battery-bl-39kx",""
"20","17","GP-BAT-BATTERYCODEMISSING-R1","Battery code missing","Samsung","Galaxy A","Galaxy A32 5G","SM-A326 family","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Do not merge with Galaxy A32 4G without battery-code evidence."
"21","18","GP-BAT-BL49ET-R1","BL-49ET","TECNO","Pouvoir","Pouvoir 2 Air","LB6","Exact only after model confirmation","Supplier cross-check","YEAKON","https://www.yeakon.com/collections/all/products/compatible-for-tecno-transsion-lb6_lc6_pop-2-plus_ba2-mobile-cell-phone-battery-bl-49et-factory-wholesale",""
"22","18","GP-BAT-BL49ET-R1","BL-49ET","TECNO","Pouvoir","Pouvoir 3 Air","LC6","Exact only after model confirmation","Supplier cross-check","YEAKON","https://www.yeakon.com/collections/all/products/compatible-for-tecno-transsion-lb6_lc6_pop-2-plus_ba2-mobile-cell-phone-battery-bl-49et-factory-wholesale",""
"23","18","GP-BAT-BL49ET-R1","BL-49ET","TECNO","Pop","Pop 2 Plus","BA2","Exact only after model confirmation","Supplier cross-check","YEAKON","https://www.yeakon.com/collections/all/products/compatible-for-tecno-transsion-lb6_lc6_pop-2-plus_ba2-mobile-cell-phone-battery-bl-49et-factory-wholesale",""
"24","19","GP-BAT-BL49DT-R1","BL-49DT","TECNO","Pouvoir","Pouvoir 1","LA6","Exact only after model confirmation","Supplier cross-check","YEAKON","https://www.yeakon.com/products/compatible-with-tecno-transsion-pouvoir-1_la6_pouvoir-2-pro_la7-mobile-cell-phone-battery-bl-49dt",""
"25","19","GP-BAT-BL49DT-R1","BL-49DT","TECNO","Pouvoir","Pouvoir 2 Pro","LA7","Exact only after model confirmation","Supplier cross-check","YEAKON","https://www.yeakon.com/products/compatible-with-tecno-transsion-pouvoir-1_la6_pouvoir-2-pro_la7-mobile-cell-phone-battery-bl-49dt",""
"26","19","GP-BAT-BL49DT-R1","BL-49DT","TECNO","Pouvoir","Pouvoir 3","LB7","Exact only after model confirmation","Supplier claim","Supplier poster / Alibaba listing","https://www.alibaba.com/product-detail/BL-49DT-5000mAh-LB7-mobile-phone_1600138629773.html",""
"27","19","GP-BAT-BL49DT-R1","BL-49DT","itel","P","P51","Exact model number pending","Exact only after model confirmation","Inventory/poster candidate","Supplier poster","","Confirm because BL-49DI is also associated with P51 in supplier markets."
"28","20","GP-BAT-BL49JX-R1","BL-49JX","Infinix","Note","Note 10 Pro","X695","Exact only after model confirmation","Supplier cross-check","GSMserver","https://gsmserver.com/en/battery-bl-49jx-compatible-with-infinix-hot-30-note-10-pro-note-11-pro-li-polymer-3-87-v-5000-mah-original-prc/",""
"29","20","GP-BAT-BL49JX-R1","BL-49JX","Infinix","Note","Note 11 Pro","X697","Exact only after model confirmation","Supplier cross-check","GSMserver","https://gsmserver.com/en/battery-bl-49jx-compatible-with-infinix-hot-30-note-10-pro-note-11-pro-li-polymer-3-87-v-5000-mah-original-prc/",""
"30","20","GP-BAT-BL49JX-R1","BL-49JX","Infinix","Zero","Zero 5G","X6815","Exact only after model confirmation","Supplier cross-check","Alibaba supplier","https://www.alibaba.com/product-detail/X695-X697-X6815-original-batteries-BL_1600573528663.html",""
"31","21","GP-BAT-BL49FT-R1","BL-49FT","TECNO","Camon","Camon 15","CD7","Exact only after model confirmation","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/",""
"32","21","GP-BAT-BL49FT-R1","BL-49FT","TECNO","Pop","Pop 4","BC2","Exact only after model confirmation","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/",""
"33","21","GP-BAT-BL49FT-R1","BL-49FT","TECNO","Pop","Pop 4 Pro","BC3","Exact only after model confirmation","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/",""
"34","21","GP-BAT-BL49FT-R1","BL-49FT","TECNO","Spark","Spark 5 Pro","KD7","Exact only after model confirmation","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/",""
"35","21","GP-BAT-BL49FT-R1","BL-49FT","TECNO","Spark","Spark 6 Go","KE5/KE5J","Exact only after model confirmation","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/",""
"36","21","GP-BAT-BL49FT-R1","BL-49FT","TECNO","Spark","Spark 7","KF6n","Exact only after model confirmation","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/",""
"37","21","GP-BAT-BL49FT-R1","BL-49FT","TECNO","Spark","Spark 7 Go","KF6m","Exact only after model confirmation","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-49ft-compatible-with-tecno-camon-15-cd7-pop-4-bc2-pop-4-pro-bc3-spark-5-pro-kd7-spark-6-go-ke5-ke5j-spark-7-kf6n-spark-7-go-kf6m-li-polymer-3-85-v-5000-mah-original-prc/",""
"38","22","GP-BAT-BL49JT-R1","BL-49JT","TECNO","Camon","Camon 17 Pro","CG8","Exact only after model confirmation","Supplier cross-check","Alibaba supplier","https://www.alibaba.com/product-detail/BL-49JT-Rechargeable-mobile-phone-Battery_1600696273039.html",""
"39","22","GP-BAT-BL49JT-R1","BL-49JT","TECNO","Camon","Camon 18P","CH7","Exact only after model confirmation","Supplier cross-check","Alibaba supplier","https://www.alibaba.com/product-detail/BL-49JT-Rechargeable-mobile-phone-Battery_1600696273039.html",""
"40","22","GP-BAT-BL49JT-R1","BL-49JT","TECNO","Spark","Spark 8 Pro","Exact code pending","Exact only after model confirmation","Supplier cross-check","Alibaba supplier","https://www.alibaba.com/product-detail/BL-49JT-Rechargeable-mobile-phone-Battery_1600696273039.html",""
"41","23","GP-BAT-BL58BX-R1","BL-58BX","Infinix","Hot","Hot 9 Play","X680","Exact only after model confirmation","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82",""
"42","23","GP-BAT-BL58BX-R1","BL-58BX","Infinix","Hot","Hot 10 Play","X688B/X688C","Exact only after model confirmation","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82",""
"43","23","GP-BAT-BL58BX-R1","BL-58BX","Infinix","Hot","Hot 10S","Exact code pending","Exact only after model confirmation","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82",""
"44","23","GP-BAT-BL58BX-R1","BL-58BX","Infinix","Smart","Smart 4 Plus","Exact code pending","Exact only after model confirmation","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82",""
"45","23","GP-BAT-BL58BX-R1","BL-58BX","Infinix","Smart","Smart 5","Exact code pending","Exact only after model confirmation","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82",""
"46","23","GP-BAT-BL58BX-R1","BL-58BX","Infinix","Hot","Hot 12 Play","X6816 family","Exact only after model confirmation","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82",""
"47","23","GP-BAT-BL58BX-R1","BL-58BX","Infinix","Hot","Hot 30 Play","X6835 family","Exact only after model confirmation","Supplier claim","Supplier marketplace cross-check","https://www.amazon.com/BL-58BX-Upgraded-Battery-Compatible-Replacement/dp/B0H2YZPS82",""
"48","24","GP-BAT-BL49GX-R1","BL-49GX","Infinix","Note","Note 7","X690","Exact only after model confirmation","Supplier cross-check","Zeenkart / supplier listing","https://www.zeenkart.com/product/bl-49gx/",""
"49","24","GP-BAT-BL49GX-R1","BL-49GX","Infinix","Note","Note 7 Lite","X656","Exact only after model confirmation","Supplier cross-check","Zeenkart / supplier listing","https://www.zeenkart.com/product/bl-49gx/",""
"50","24","GP-BAT-BL49GX-R1","BL-49GX","Infinix","Note","Note 10","X693","Exact only after model confirmation","Supplier cross-check","Zeenkart / supplier listing","https://www.zeenkart.com/product/bl-49gx/",""
"51","24","GP-BAT-BL49GX-R1","BL-49GX","Infinix","Hot","Hot 11S","X6812","Exact only after model confirmation","Supplier cross-check","Zeenkart / supplier listing","https://www.zeenkart.com/product/bl-49gx/",""
"52","24","GP-BAT-BL49GX-R1","BL-49GX","Infinix","Hot","Hot 12 Pro","Exact code pending","Exact only after model confirmation","Supplier cross-check","Zeenkart / supplier listing","https://www.zeenkart.com/product/bl-49gx/",""
"53","25","GP-BAT-WT140-R1","WT140","Nokia","C","C01 Plus","TA model pending","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","WT140 appears in the poster; confirm the TA variant from packaging."
"54","28","GP-BAT-BATTERYCODEMISSING-R1","Battery code missing","Samsung","Galaxy Grand Prime","Galaxy Grand Prime","SM-G530 family","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","",""
"55","34","GP-BAT-BL34CT-R1","BL-34CT","TECNO","Spark","Spark 3","Exact model pending","Exact only after model confirmation","Poster claim","GoldPlus supplier poster","",""
"56","35","GP-BAT-BL58BT-R1","BL-58BT","TECNO","Pouvoir","Pouvoir 4","LC7/LC7S","Exact only after model confirmation","Supplier cross-check","Alibaba / supplier listing","https://www.alibaba.com/product-detail/6000mAh-BL-58BT-LC8-mobile-phone_1600160584497.html",""
"57","35","GP-BAT-BL58BT-R1","BL-58BT","TECNO","Pouvoir","Pouvoir 4 Pro","LC8","Exact only after model confirmation","Supplier cross-check","Alibaba / supplier listing","https://www.alibaba.com/product-detail/6000mAh-BL-58BT-LC8-mobile-phone_1600160584497.html",""
"58","35","GP-BAT-BL58BT-R1","BL-58BT","TECNO","Spark","Spark 6 Air","KE6","Exact only after model confirmation","Supplier cross-check","Alibaba / supplier listing","https://www.alibaba.com/product-detail/6000mAh-BL-58BT-LC8-mobile-phone_1600160584497.html",""
"59","38","GP-BAT-BL48BT-R1","BL-48BT","TECNO","Pop","Pop 5","BD2","Exact only after model confirmation","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-48bt-compatible-with-tecno-pop-5-bd2-li-polymer-3-85-v-5000-mah-original-prc/",""
"60","41","GP-BAT-BL51BX-R1","BL-51BX","Infinix","Note","Note 8","X692","Exact only after model confirmation","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-51bx-compatible-with-infinix-hot-10-x682-hot-11-note-8-x692-note-8i-x683-li-polymer-3-8-v-5200-mah-original-prc/",""
"61","41","GP-BAT-BL51BX-R1","BL-51BX","Infinix","Note","Note 8i","X683","Exact only after model confirmation","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-51bx-compatible-with-infinix-hot-10-x682-hot-11-note-8-x692-note-8i-x683-li-polymer-3-8-v-5200-mah-original-prc/",""
"62","41","GP-BAT-BL51BX-R1","BL-51BX","Infinix","Hot","Hot 10","X682","Exact only after model confirmation","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-51bx-compatible-with-infinix-hot-10-x682-hot-11-note-8-x692-note-8i-x683-li-polymer-3-8-v-5200-mah-original-prc/",""
"63","42","GP-BAT-BATTERYCODEMISSING-R1","Battery code missing","OPPO","A","A57","CPH model pending","Exact only after model confirmation","Ambiguous inventory claim","BATTERIES (2).xlsx","","2016 and 2022 generations must not share one compatibility record without evidence."
"64","43","GP-BAT-BLP681-R1","BLP681","OPPO","F","F9","CPH model pending","Exact only after model confirmation","Inventory claim with battery reference","BATTERIES (2).xlsx","","BLP681 is present in the inventory label; exact F9 variant remains required."
"65","44","GP-BAT-BL43BX-R1","BL-43BX","Infinix","Note","Note 5","X604/X604B","Exact only after model confirmation","Supplier cross-check","Digital Store Kenya","https://www.digitalstore.co.ke/products/infinix-x604-note-5-smartphone-replacement-battery-bl-43bx",""
"66","47","GP-BAT-BL30RT-R1","BL-30RT","TECNO","W","W5","Exact code pending","Exact only after model confirmation","Poster claim","GoldPlus supplier poster","",""
"67","48","HOLD-SPLIT-048","BL-49LT / BL-49LX","Infinix","Hot","Hot 12","Exact model pending","Exact only after model confirmation","Poster claim for BL-49LX only","GoldPlus supplier poster","","BL-49LT remains unresolved; compound inventory line must be split."
"68","49","GP-BAT-BL39EX-R1","BL-39EX","Infinix","Device code","Marketing name pending","X559","Exact only after model confirmation","Poster claim","GoldPlus supplier poster","",""
"69","50","GP-BAT-BL39AX-R1","BL-39AX","Infinix","Device code","Marketing name pending","X556","Exact only after model confirmation","Poster claim","GoldPlus supplier poster","",""
"70","50","GP-BAT-BL39AX-R1","BL-39AX","Infinix","Device code","Marketing name pending","X557","Exact only after model confirmation","Poster claim","GoldPlus supplier poster","",""
"71","58","GP-BAT-BL38BT-R1","BL-38BT","TECNO","Pop","Pop 2 Go","Exact code pending","Exact only after model confirmation","Poster claim","GoldPlus supplier poster","","Later supplier sources also associate BL-38BT with Pop 5 Go; verify physical stock."
"72","59","HOLD-SPLIT-059","BL-38CT / BL-38CI","TECNO","Pop","Pop 6 Go","Exact model pending","Exact only after model confirmation","Poster claim for BL-38CT","GoldPlus supplier poster","","Only valid after the compound BL-38CT/BL-38CI row is split."
"73","59","HOLD-SPLIT-059","BL-38CT / BL-38CI","itel","A / Nova","A58 / Nova 4 candidate","Exact model pending","Exact only after model confirmation","Poster claim for BL-38CI","GoldPlus supplier poster","","Only valid after the compound BL-38CT/BL-38CI row is split."
"74","60","HOLD-SPLIT-060","BL-34DT / BL-30VX","TECNO","Phantom","Phantom 9","Exact model pending","Exact only after model confirmation","Poster claim for BL-34DT","GoldPlus supplier poster","","Only valid after compound row is split."
"75","60","HOLD-SPLIT-060","BL-34DT / BL-30VX","Infinix","Device code","Marketing name pending","X5515/X5516","Exact only after model confirmation","Poster claim for BL-30VX","GoldPlus supplier poster","","Only valid after compound row is split."
"76","61","GP-BAT-BATTERYCODEMISSING-R1","Battery code missing","Samsung","Galaxy Note","Galaxy Note Edge","SM-N915 family","Exact only after model confirmation","Corrected inventory-name claim","BATTERIES (2).xlsx","","Physical battery code required."
"77","63","GP-BAT-BATTERYCODEMISSING-R1","Battery code missing","Samsung","Galaxy Note","Galaxy Note 4","SM-N910 family","Exact only after model confirmation","Inventory-name claim","BATTERIES (2).xlsx","","Physical battery code required."
"78","64","GP-BAT-BL32AT-R1","BL-32AT","TECNO","Camon","Camon CX","Exact code pending","Exact only after model confirmation","Inventory plus poster claim","BATTERIES (2).xlsx / supplier poster","",""
"79","65","GP-BAT-BL36BT-R1","BL-36BT","TECNO","Camon","Camon X","Exact model pending","Exact only after model confirmation","Supplier claim","Alibaba supplier","https://www.alibaba.com/product-detail/Original-cell-phone-digital-batteries-BL_1600161205771.html",""
"80","65","GP-BAT-BL36BT-R1","BL-36BT","TECNO","Camon","Camon 11","Exact model pending","Exact only after model confirmation","Supplier claim","Alibaba supplier","https://www.alibaba.com/product-detail/Original-cell-phone-digital-batteries-BL_1600161205771.html",""
"81","65","GP-BAT-BL36BT-R1","BL-36BT","TECNO","Camon","Camon i2","Exact model pending","Exact only after model confirmation","Supplier claim","Alibaba supplier","https://www.alibaba.com/product-detail/Original-cell-phone-digital-batteries-BL_1600161205771.html",""
"82","67","GP-BAT-BL49FX-R1","BL-49FX","TECNO","Pop","Pop 5","Exact model pending","Exact only after model confirmation","Inventory claim - unverified","BATTERIES (2).xlsx","","Cross-brand claim requires individual verification."
"83","67","GP-BAT-BL49FX-R1","BL-49FX","Infinix","Smart","Smart 6","Exact model pending","Exact only after model confirmation","Inventory claim - unverified","BATTERIES (2).xlsx","","Cross-brand claim requires individual verification."
"84","67","GP-BAT-BL49FX-R1","BL-49FX","Infinix","Smart","Smart 7","Exact model pending","Exact only after model confirmation","Inventory claim - unverified","BATTERIES (2).xlsx","","Cross-brand claim requires individual verification."
"85","68","GP-BAT-BL39LTPROBABLE-R1","BL-39LT (probable)","TECNO","Spark","Spark 4","Exact model pending","Exact only after model confirmation","Inventory/poster claim","BATTERIES (2).xlsx / supplier poster","","Printed code appears to be BL-39LT, not '39LT9'."
"86","68","GP-BAT-BL39LTPROBABLE-R1","BL-39LT (probable)","itel","A","A56","Exact model pending","Exact only after model confirmation","Inventory claim - conflicts with poster","BATTERIES (2).xlsx","","Requires packaging or fit-test evidence."
"87","68","GP-BAT-BL39LTPROBABLE-R1","BL-39LT (probable)","TECNO","Camon","Camon 12 Air","Exact model pending","Exact only after model confirmation","Poster claim","GoldPlus supplier poster","","Not present in inventory text; resolve conflict."
"88","71","GP-BAT-EBBA505ABUCANDIDATE-R1","EB-BA505ABU (candidate)","Samsung","Galaxy A","Galaxy A20","SM-A205","Exact only after model confirmation","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-eb-ba505abu-4000-mah-sm-a205-a305-a307-a505-a507-galaxy-a20-a30-a30s-a50-a50s-gh82-21183a-p-F7DADAD6B9D2",""
"89","71","GP-BAT-EBBA505ABUCANDIDATE-R1","EB-BA505ABU (candidate)","Samsung","Galaxy A","Galaxy A30","SM-A305","Exact only after model confirmation","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-eb-ba505abu-4000-mah-sm-a205-a305-a307-a505-a507-galaxy-a20-a30-a30s-a50-a50s-gh82-21183a-p-F7DADAD6B9D2",""
"90","71","GP-BAT-EBBA505ABUCANDIDATE-R1","EB-BA505ABU (candidate)","Samsung","Galaxy A","Galaxy A50","SM-A505","Exact only after model confirmation","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-eb-ba505abu-4000-mah-sm-a205-a305-a307-a505-a507-galaxy-a20-a30-a30s-a50-a50s-gh82-21183a-p-F7DADAD6B9D2",""
"91","72","GP-BAT-EBBA217ABYCANDIDATE-R1","EB-BA217ABY (candidate)","Samsung","Galaxy A","Galaxy A12","SM-A125","Exact only after model confirmation","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-eb-ba217aby-5000mah-sm-a125-a127-a135-a137-a217-galaxy-a12-a13-a21s-a04s-gh82-22989a-p-6275671627F3",""
"92","72","GP-BAT-EBBA217ABYCANDIDATE-R1","EB-BA217ABY (candidate)","Samsung","Galaxy A","Galaxy A21s","SM-A217","Exact only after model confirmation","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-eb-ba217aby-5000mah-sm-a125-a127-a135-a137-a217-galaxy-a12-a13-a21s-a04s-gh82-22989a-p-6275671627F3",""
"93","73","GP-BAT-BLP727-R1","BLP727","OPPO","A","OPPO A11","CPH model pending","Exact only after model confirmation","Supplier cross-check","TVCMALL","https://m.tvcmall.com/details/3-87v-4880mah-battery-replacement-encode-blp727-for-oppo-a11x-a11-a5-2020-a9-2020-sku660200449a.html",""
"94","73","GP-BAT-BLP727-R1","BLP727","OPPO","A","OPPO A11x","CPH model pending","Exact only after model confirmation","Supplier cross-check","TVCMALL","https://m.tvcmall.com/details/3-87v-4880mah-battery-replacement-encode-blp727-for-oppo-a11x-a11-a5-2020-a9-2020-sku660200449a.html",""
"95","73","GP-BAT-BLP727-R1","BLP727","OPPO","A","OPPO A5 (2020)","CPH1931/CPH1933 family","Exact only after model confirmation","Supplier cross-check","TVCMALL","https://m.tvcmall.com/details/3-87v-4880mah-battery-replacement-encode-blp727-for-oppo-a11x-a11-a5-2020-a9-2020-sku660200449a.html",""
"96","73","GP-BAT-BLP727-R1","BLP727","OPPO","A","OPPO A9 (2020)","CPH1937/CPH1939 family","Exact only after model confirmation","Supplier cross-check","TVCMALL","https://m.tvcmall.com/details/3-87v-4880mah-battery-replacement-encode-blp727-for-oppo-a11x-a11-a5-2020-a9-2020-sku660200449a.html",""
"97","74","GP-BAT-EBBA207ABUCANDIDATE-R1","EB-BA207ABU (candidate)","Samsung","Galaxy A","Galaxy A10s","Exact SM code pending","Exact only after model confirmation","Inventory claim; battery code candidate","BATTERIES (2).xlsx","","Confirm EB-BA207ABU from physical packaging."
"98","74","GP-BAT-EBBA207ABUCANDIDATE-R1","EB-BA207ABU (candidate)","Samsung","Galaxy A","Galaxy A20s","Exact SM code pending","Exact only after model confirmation","Inventory claim; battery code candidate","BATTERIES (2).xlsx","","Confirm EB-BA207ABU from physical packaging."
"99","75","GP-BAT-HQ50SSLC50CANDIDATE-R1","HQ-50S / SLC-50 (candidate)","Samsung","Galaxy A","Galaxy A03 Core","SM-A032 family","Exact only after model confirmation","Supplier cross-check","Supplier listing","https://www.ebay.co.uk/itm/196297566300",""
"100","76","GP-BAT-HQ50SCANDIDATE-R1","HQ-50S (candidate)","Samsung","Galaxy A","Galaxy A02s","SM-A025 family","Exact only after model confirmation","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-hq-50s-a02s-a03-a03s-a04e-a14-4g-galaxy-a025-a035-a037-a042-a145-gh81-20119a-p-D2BA4EFDAE0C",""
"101","76","GP-BAT-HQ50SCANDIDATE-R1","HQ-50S (candidate)","Samsung","Galaxy A","Galaxy A03s","SM-A037 family","Exact only after model confirmation","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-hq-50s-a02s-a03-a03s-a04e-a14-4g-galaxy-a025-a035-a037-a042-a145-gh81-20119a-p-D2BA4EFDAE0C",""
"102","80","GP-BAT-BL34ET-R1","BL-34ET","TECNO","Pop","Pop 3","Exact model pending","Exact only after model confirmation","Poster claim","GoldPlus supplier poster","",""
