"claimId","batteryReference","resolvesToLiveBattery","deviceBrand","marketingName","exactModelNumber","workbookEvidence","evidenceSource","sourceUrl","importerOutcome","stagedEvidenceStatus","holdOrError","proposal"
"61","BL-51BX","BL-51BX","Infinix","Note 8i","X683","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-51bx-compatible-with-infinix-hot-10-x682-hot-11-note-8-x692-note-8i-x683-li-polymer-3-8-v-5200-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"62","BL-51BX","BL-51BX","Infinix","Hot 10","X682","Supplier cross-check","All Spares","https://all-spares.com/en/battery-bl-51bx-compatible-with-infinix-hot-10-x682-hot-11-note-8-x692-note-8i-x683-li-polymer-3-8-v-5200-mah-original-prc/","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"63","Battery code missing","","OPPO","A57","CPH model pending","Ambiguous inventory claim","BATTERIES (2).xlsx","","HOLD_CONFLICT","","OPPO A57 exists in 2016 and 2022 generations; the exact CPH model is required.","STAGE-HELD: resolve the conflict/split first"
"64","BLP681","","OPPO","F9","CPH model pending","Inventory claim with battery reference","BATTERIES (2).xlsx","","ERROR","","No battery for ""BLP681"". Import the catalogue first or add ""BLP681"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
"65","BL-43BX","BL-43BX","Infinix","Note 5","X604/X604B","Supplier cross-check","Digital Store Kenya","https://www.digitalstore.co.ke/products/infinix-x604-note-5-smartphone-replacement-battery-bl-43bx","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE then REVIEW: candidate for verification (two independent supplier sources agree)"
"66","BL-30RT","30RT (resolved by the native importer)","TECNO","W5","Exact code pending","Poster claim","GoldPlus supplier poster","","CREATE","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"67","BL-49LT / BL-49LX","","Infinix","Hot 12","Exact model pending","Poster claim for BL-49LX only","GoldPlus supplier poster","","HOLD_COMPOUND","","The battery reference ""BL-49LT / BL-49LX"" is a compound line; split the battery first.","STAGE-HELD: resolve the conflict/split first"
"68","BL-39EX","BL-39EX","Infinix","Marketing name pending","X559","Poster claim","GoldPlus supplier poster","","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"69","BL-39AX","BL-39AX","Infinix","Marketing name pending","X556","Poster claim","GoldPlus supplier poster","","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"70","BL-39AX","BL-39AX","Infinix","Marketing name pending","X557","Poster claim","GoldPlus supplier poster","","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"71","BL-38BT","BL-38BT","TECNO","Pop 2 Go","Exact code pending","Poster claim","GoldPlus supplier poster","","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"72","BL-38CT / BL-38CI","","TECNO","Pop 6 Go","Exact model pending","Poster claim for BL-38CT","GoldPlus supplier poster","","HOLD_COMPOUND","","The battery reference ""BL-38CT / BL-38CI"" is a compound line; split the battery first.","STAGE-HELD: resolve the conflict/split first"
"73","BL-38CT / BL-38CI","","itel","A58 / Nova 4 candidate","Exact model pending","Poster claim for BL-38CI","GoldPlus supplier poster","","HOLD_COMPOUND","","The battery reference ""BL-38CT / BL-38CI"" is a compound line; split the battery first.","STAGE-HELD: resolve the conflict/split first"
"74","BL-34DT / BL-30VX","","TECNO","Phantom 9","Exact model pending","Poster claim for BL-34DT","GoldPlus supplier poster","","HOLD_COMPOUND","","The battery reference ""BL-34DT / BL-30VX"" is a compound line; split the battery first.","STAGE-HELD: resolve the conflict/split first"
"75","BL-34DT / BL-30VX","","Infinix","Marketing name pending","X5515/X5516","Poster claim for BL-30VX","GoldPlus supplier poster","","HOLD_COMPOUND","","The battery reference ""BL-34DT / BL-30VX"" is a compound line; split the battery first.","STAGE-HELD: resolve the conflict/split first"
"76","Battery code missing","","Samsung","Galaxy Note Edge","SM-N915 family","Corrected inventory-name claim","BATTERIES (2).xlsx","","ERROR","","No battery for ""Battery code missing"". Import the catalogue first or add ""Battery code missing"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
"77","Battery code missing","","Samsung","Galaxy Note 4","SM-N910 family","Inventory-name claim","BATTERIES (2).xlsx","","ERROR","","No battery for ""Battery code missing"". Import the catalogue first or add ""Battery code missing"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
"78","BL-32AT","BL-32AT","TECNO","Camon CX","Exact code pending","Inventory plus poster claim","BATTERIES (2).xlsx / supplier poster","","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"79","BL-36BT","BL-36BT","TECNO","Camon X","Exact model pending","Supplier claim","Alibaba supplier","https://www.alibaba.com/product-detail/Original-cell-phone-digital-batteries-BL_1600161205771.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"80","BL-36BT","BL-36BT","TECNO","Camon 11","Exact model pending","Supplier claim","Alibaba supplier","https://www.alibaba.com/product-detail/Original-cell-phone-digital-batteries-BL_1600161205771.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"81","BL-36BT","BL-36BT","TECNO","Camon i2","Exact model pending","Supplier claim","Alibaba supplier","https://www.alibaba.com/product-detail/Original-cell-phone-digital-batteries-BL_1600161205771.html","CREATE_CLAIM","SUPPLIER_LISTED","","STAGE only: single weak source; needs package or fit evidence"
"82","BL-49FX","","TECNO","Pop 5","Exact model pending","Inventory claim - unverified","BATTERIES (2).xlsx","","HOLD_CONFLICT","","BL-49FX is claimed across TECNO Pop 5 and Infinix Smart 6/7; each phone needs its own verification.","STAGE-HELD: resolve the conflict/split first"
"83","BL-49FX","","Infinix","Smart 6","Exact model pending","Inventory claim - unverified","BATTERIES (2).xlsx","","HOLD_CONFLICT","","BL-49FX is claimed across TECNO Pop 5 and Infinix Smart 6/7; each phone needs its own verification.","STAGE-HELD: resolve the conflict/split first"
"84","BL-49FX","","Infinix","Smart 7","Exact model pending","Inventory claim - unverified","BATTERIES (2).xlsx","","HOLD_CONFLICT","","BL-49FX is claimed across TECNO Pop 5 and Infinix Smart 6/7; each phone needs its own verification.","STAGE-HELD: resolve the conflict/split first"
"85","BL-39LT (probable)","","TECNO","Spark 4","Exact model pending","Inventory/poster claim","BATTERIES (2).xlsx / supplier poster","","ERROR","","No battery for ""BL-39LT (probable)"". Import the catalogue first or add ""BL-39LT (probable)"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
"86","BL-39LT (probable)","","itel","A56","Exact model pending","Inventory claim - conflicts with poster","BATTERIES (2).xlsx","","HOLD_CONFLICT","","Requires packaging or fit-test evidence.","STAGE-HELD: resolve the conflict/split first"
"87","BL-39LT (probable)","","TECNO","Camon 12 Air","Exact model pending","Poster claim","GoldPlus supplier poster","","HOLD_CONFLICT","","Not present in inventory text; resolve conflict.","STAGE-HELD: resolve the conflict/split first"
"88","EB-BA505ABU (candidate)","","Samsung","Galaxy A20","SM-A205","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-eb-ba505abu-4000-mah-sm-a205-a305-a307-a505-a507-galaxy-a20-a30-a30s-a50-a50s-gh82-21183a-p-F7DADAD6B9D2","ERROR","","No battery for ""EB-BA505ABU (candidate)"". Import the catalogue first or add ""EB-BA505ABU (candidate)"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
"89","EB-BA505ABU (candidate)","","Samsung","Galaxy A30","SM-A305","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-eb-ba505abu-4000-mah-sm-a205-a305-a307-a505-a507-galaxy-a20-a30-a30s-a50-a50s-gh82-21183a-p-F7DADAD6B9D2","ERROR","","No battery for ""EB-BA505ABU (candidate)"". Import the catalogue first or add ""EB-BA505ABU (candidate)"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
"90","EB-BA505ABU (candidate)","","Samsung","Galaxy A50","SM-A505","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-eb-ba505abu-4000-mah-sm-a205-a305-a307-a505-a507-galaxy-a20-a30-a30s-a50-a50s-gh82-21183a-p-F7DADAD6B9D2","ERROR","","No battery for ""EB-BA505ABU (candidate)"". Import the catalogue first or add ""EB-BA505ABU (candidate)"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
"91","EB-BA217ABY (candidate)","","Samsung","Galaxy A12","SM-A125","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-eb-ba217aby-5000mah-sm-a125-a127-a135-a137-a217-galaxy-a12-a13-a21s-a04s-gh82-22989a-p-6275671627F3","ERROR","","No battery for ""EB-BA217ABY (candidate)"". Import the catalogue first or add ""EB-BA217ABY (candidate)"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
"92","EB-BA217ABY (candidate)","","Samsung","Galaxy A21s","SM-A217","Supplier cross-check","MPS Mobile","https://mpsmobile.de/en/samsung-battery-eb-ba217aby-5000mah-sm-a125-a127-a135-a137-a217-galaxy-a12-a13-a21s-a04s-gh82-22989a-p-6275671627F3","ERROR","","No battery for ""EB-BA217ABY (candidate)"". Import the catalogue first or add ""EB-BA217ABY (candidate)"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
"93","BLP727","","OPPO","OPPO A11","CPH model pending","Supplier cross-check","TVCMALL","https://m.tvcmall.com/details/3-87v-4880mah-battery-replacement-encode-blp727-for-oppo-a11x-a11-a5-2020-a9-2020-sku660200449a.html","ERROR","","No battery for ""BLP727"". Import the catalogue first or add ""BLP727"" as an alias of the right battery.","NOT IMPORTABLE: battery is not a live product"
